tissue	amplicon	module	asv_id	rho	p_value	n	padj	Genus
Leaf	16S	greenyellow	ASV003	0.216998099030641	0.344738339683584	21	0.585228476853509	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	greenyellow	ASV004	0.106851084572395	0.644803034193873	21	0.798327566144795	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	greenyellow	ASV005	-0.183964930570558	0.424719763965287	21	0.649571403711616	Vibrionimonas
Leaf	16S	greenyellow	ASV006	-0.307605202223425	0.174949652330906	21	0.427888586720603	Ralstonia
Leaf	16S	greenyellow	ASV008	0.477419516305223	0.0286238916799613	21	0.155690672507443	Methylobacterium-Methylorubrum
Leaf	16S	greenyellow	ASV012	-0.102535067407808	0.658292626102797	21	0.801156132193192	Paenarthrobacter
Leaf	16S	greenyellow	ASV013	0.456226102352348	0.0376393045400041	21	0.178071491127758	Azospirillum
Leaf	16S	greenyellow	ASV018	0.200725428569523	0.382966522488512	21	0.611890644869914	Edaphobacter
Leaf	16S	greenyellow	ASV020	0.364372571522569	0.104394391029165	21	0.331742175937126	Methylobacterium-Methylorubrum
Leaf	16S	greenyellow	ASV021	0.290779592083918	0.200977343274995	21	0.444556663997814	Rhizobiaceae
Leaf	16S	greenyellow	ASV024	0.104455636177096	0.652277012270431	21	0.801156132193192	Pantoea
Leaf	16S	greenyellow	ASV032	0.180708914100283	0.433104183171471	21	0.655385166068999	Hydrotalea
Leaf	16S	greenyellow	ASV034	-0.0455842305838552	0.844450985554532	21	0.926618975467912	Aminobacter
Leaf	16S	greenyellow	ASV037	0.0379071252751718	0.870413461144542	21	0.930512146659216	Leifsonia
Leaf	16S	greenyellow	ASV038	-0.293041482324783	0.197335660067613	21	0.444556663997814	Phenylobacterium
Leaf	16S	greenyellow	ASV054	-0.216883116883117	0.343389265135509	21	0.585228476853509	Pseudomonas
Leaf	16S	greenyellow	ASV060	0.390675474774729	0.079939590951724	21	0.285784037652413	Paenibacillus
Leaf	16S	greenyellow	ASV080	0.212021664809366	0.356183615629401	21	0.592456518884092	Sphingomonas
Leaf	16S	greenyellow	ASV091	-0.0402279696797741	0.862550050653115	21	0.930512146659216	Curtobacterium
Leaf	16S	greenyellow	ASV221	-0.12624819542353	0.585543171322079	21	0.761219870608477	Staphylococcus
Leaf	16S	greenyellow	ASV262	-0.211970455620348	0.356302521846377	21	0.592456518884092	Corynebacterium
Leaf	16S	greenyellow	ASV317	0.0495296512054667	0.831166786509697	21	0.924956034792893	Acinetobacter
Leaf	16S	tan	ASV003	-0.0248371318167601	0.914896416484461	21	0.948333058765814	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	tan	ASV004	0.229062012552072	0.317901297356016	21	0.575378353345094	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	tan	ASV005	-0.216525095273312	0.345816827231619	21	0.585228476853509	Vibrionimonas
Leaf	16S	tan	ASV006	-0.193773898575773	0.399995312328494	21	0.628564062230491	Ralstonia
Leaf	16S	tan	ASV008	0.227213820791154	0.321928839784843	21	0.575447801115406	Methylobacterium-Methylorubrum
Leaf	16S	tan	ASV012	-0.179001897339055	0.437534713644511	21	0.658604884749107	Paenarthrobacter
Leaf	16S	tan	ASV013	0.366276161036822	0.102460752713965	21	0.330412690277242	Azospirillum
Leaf	16S	tan	ASV018	0.140768482373432	0.542773132897363	21	0.734655126722245	Edaphobacter
Leaf	16S	tan	ASV020	0.358183653110296	0.110864855006241	21	0.344645092736793	Methylobacterium-Methylorubrum
Leaf	16S	tan	ASV021	0.129836469023517	0.574841184525848	21	0.757624786978768	Rhizobiaceae
Leaf	16S	tan	ASV024	0.18829502837187	0.413705832309643	21	0.643042761089989	Pantoea
Leaf	16S	tan	ASV032	0.226293144684138	0.323946517166189	21	0.57545778825795	Hydrotalea
Leaf	16S	tan	ASV034	-0.138380699986703	0.54970698293203	21	0.734655126722245	Aminobacter
Leaf	16S	tan	ASV037	0.222027448040292	0.333393243005396	21	0.583149592469442	Leifsonia
Leaf	16S	tan	ASV038	-0.125356634105602	0.588215354561096	21	0.761219870608477	Phenylobacterium
Leaf	16S	tan	ASV054	-0.368831168831169	0.100603052566695	21	0.330412690277242	Pseudomonas
Leaf	16S	tan	ASV060	0.564738805119906	0.00764679838566292	21	0.0705478818806321	Paenibacillus
Leaf	16S	tan	ASV080	0.530054162023415	0.0134519156017875	21	0.1012433647924	Sphingomonas
Leaf	16S	tan	ASV091	0.136929819871539	0.553939656065884	21	0.736868565743455	Curtobacterium
Leaf	16S	tan	ASV221	0.0476937627155557	0.837342920081071	21	0.926618975467912	Staphylococcus
Leaf	16S	tan	ASV262	-0.0781350949549459	0.736380707564622	21	0.852651345601141	Corynebacterium
Leaf	16S	tan	ASV317	-0.0695152999374971	0.764623434537245	21	0.878242177821895	Acinetobacter
Leaf	16S	green	ASV003	0.518965333223882	0.0159239019783581	21	0.113855899145261	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	green	ASV004	0.279148458445382	0.220413133756085	21	0.464052787699661	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	green	ASV005	0.278389408208544	0.221723042168744	21	0.464052787699661	Vibrionimonas
Leaf	16S	green	ASV006	-0.298915789731237	0.188085949003362	21	0.444556663997814	Ralstonia
Leaf	16S	green	ASV008	0.539632824378991	0.0115758623801703	21	0.0919637955757971	Methylobacterium-Methylorubrum
Leaf	16S	green	ASV012	0.295440024734363	0.193522699494722	21	0.444556663997814	Paenarthrobacter
Leaf	16S	green	ASV013	0.499402074183801	0.0211700483506974	21	0.143312255197143	Azospirillum
Leaf	16S	green	ASV018	0.417960740874201	0.0593740329842658	21	0.239168639908451	Edaphobacter
Leaf	16S	green	ASV020	0.239820588475576	0.295062614410986	21	0.551554952428379	Methylobacterium-Methylorubrum
Leaf	16S	green	ASV021	0.357050289814671	0.112080567758084	21	0.344677875040988	Rhizobiaceae
Leaf	16S	green	ASV024	0.236399597663953	0.302212420099712	21	0.554056103516139	Pantoea
Leaf	16S	green	ASV032	0.271877375267993	0.233171354287751	21	0.47976264263523	Hydrotalea
Leaf	16S	green	ASV034	0.280017416443682	0.21891982502642	21	0.464052787699661	Aminobacter
Leaf	16S	green	ASV037	0.198045389192734	0.389482725703811	21	0.615425743377293	Leifsonia
Leaf	16S	green	ASV038	0.201873021157073	0.380195163769967	21	0.610875375495566	Phenylobacterium
Leaf	16S	green	ASV054	-0.507792207792208	0.0201313561653428	21	0.14042848447044	Pseudomonas
Leaf	16S	green	ASV060	0.370561489934842	0.0982037105299659	21	0.330412690277242	Paenibacillus
Leaf	16S	green	ASV080	0.036495532467186	0.875201984095556	21	0.930512146659216	Sphingomonas
Leaf	16S	green	ASV091	0.00928337761840941	0.968142985834397	21	0.985369729354582	Curtobacterium
Leaf	16S	green	ASV221	0.166928169504445	0.469545592533729	21	0.685153262574726	Staphylococcus
Leaf	16S	green	ASV262	-0.0866448577718212	0.708815665606789	21	0.833034553722063	Corynebacterium
Leaf	16S	green	ASV317	0.366693207170297	0.102040640495021	21	0.330412690277242	Acinetobacter
Leaf	16S	yellow	ASV003	0.664066471732323	0.00102762407337296	21	0.0163278047213703	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	yellow	ASV004	0.341923470631664	0.129241861195863	21	0.364427409532352	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	yellow	ASV005	0.44281823995745	0.0443979308878941	21	0.201552511649805	Vibrionimonas
Leaf	16S	yellow	ASV006	-0.167705661099212	0.46744914926382	21	0.685153262574726	Ralstonia
Leaf	16S	yellow	ASV008	0.380042164537585	0.0892485895311653	21	0.304482969947967	Methylobacterium-Methylorubrum
Leaf	16S	yellow	ASV012	0.395368268394515	0.076070011245067	21	0.275392698937837	Paenarthrobacter
Leaf	16S	yellow	ASV013	0.358360566201056	0.11067595346331	21	0.344645092736793	Azospirillum
Leaf	16S	yellow	ASV018	0.307605202223425	0.174949652330907	21	0.427888586720603	Edaphobacter
Leaf	16S	yellow	ASV020	0.21042322601728	0.35990596998776	21	0.594989060210979	Methylobacterium-Methylorubrum
Leaf	16S	yellow	ASV021	0.321886246120802	0.154751800508631	21	0.413635653695968	Rhizobiaceae
Leaf	16S	yellow	ASV024	0.161493911194852	0.484330916084721	21	0.699589101011264	Pantoea
Leaf	16S	yellow	ASV032	0.192104971746247	0.404144857085147	21	0.631614366810668	Hydrotalea
Leaf	16S	yellow	ASV034	0.353277787024878	0.116196706448528	21	0.349725625894772	Aminobacter
Leaf	16S	yellow	ASV037	0.143892353085346	0.533762695047423	21	0.726933956112205	Leifsonia
