"tissue","amplicon","module","asv_id","rho","p_value","n","padj","Genus"
"Leaf","16S","yellow","ASV003",0.664066471732323,0.00102762407337296,21,0.0163278047213703,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","black","ASV003",0.611777773170722,0.00320696667237135,21,0.0352766333960848,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","red","ASV003",0.596091163602242,0.00434760125449338,21,0.0444076413851824,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","red","ASV024",0.743559199629062,0.000111967560214499,21,0.00331505924941246,"Pantoea"
"Leaf","16S","turquoise","ASV003",0.742499519574723,0.000115911162566869,21,0.00331505924941246,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","turquoise","ASV004",0.689189495491948,0.000548971132836882,21,0.0104670495994232,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","turquoise","ASV008",0.761436792294165,6.0844291427933e-05,21,0.00331505924941246,"Methylobacterium-Methylorubrum"
"Leaf","16S","turquoise","ASV013",0.682899954467474,0.000645859363285021,21,0.0115447361187198,"Azospirillum"
"Leaf","16S","turquoise","ASV020",0.679233795746955,0.000708785051193042,21,0.0119242661553653,"Methylobacterium-Methylorubrum"
"Leaf","16S","turquoise","ASV021",0.619428154299694,0.00274882564013896,21,0.032324499196063,"Rhizobiaceae"
"Leaf","16S","turquoise","ASV024",0.641852395982942,0.00170897747307998,21,0.023274645585756,"Pantoea"
"Leaf","16S","turquoise","ASV060",0.601872315593543,0.00389334276845749,21,0.0412405937695867,"Paenibacillus"
"Leaf","16S","blue","ASV003",-0.745113954502803,0.000106391377968982,21,0.00331505924941246,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","blue","ASV004",-0.743282857056723,0.000112984633385157,21,0.00331505924941246,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","blue","ASV008",-0.830412416462909,3.17774283820348e-06,21,0.000908834451726196,"Methylobacterium-Methylorubrum"
"Leaf","16S","blue","ASV013",-0.762775502355661,5.80073683102795e-05,21,0.00331505924941246,"Azospirillum"
"Leaf","16S","blue","ASV020",-0.643647514876386,0.00164255173656584,21,0.023274645585756,"Methylobacterium-Methylorubrum"
"Leaf","16S","blue","ASV021",-0.618075691080699,0.00282556811154397,21,0.032324499196063,"Rhizobiaceae"
"Leaf","16S","blue","ASV024",-0.745620824027294,0.000104626104848006,21,0.00331505924941246,"Pantoea"
"Leaf","16S","blue","ASV032",-0.621899145822596,0.00261311949873,21,0.032324499196063,"Hydrotalea"
"Leaf","16S","blue","ASV054",0.658441558441558,0.0015400564744353,21,0.0231819027204471,"Pseudomonas"
"Leaf","16S","blue","ASV060",-0.727971528243605,0.000183365952711934,21,0.00437022187296776,"Paenibacillus"
"Leaf","16S","purple","ASV021",-0.632952786489644,0.0020727145126561,21,0.0269452886645293,"Rhizobiaceae"
"Leaf","16S","brown","ASV004",-0.737940302828104,0.000134277528741089,21,0.00349121574726832,"Burkholderia-Caballeronia-Paraburkholderia"
"Leaf","16S","brown","ASV024",-0.785478895726449,2.45626371999218e-05,21,0.00331505924941246,"Pantoea"
"Leaf","16S","brown","ASV037",-0.689290788166899,0.000547518446601252,21,0.0104670495994232,"Leifsonia"
"Leaf","16S","brown","ASV054",0.712987012987013,0.000417663280371384,21,0.00918859216817045,"Pseudomonas"
"Leaf","16S","brown","ASV060",-0.766652268320311,5.04285962952133e-05,21,0.00331505924941246,"Paenibacillus"
"Adv-Root","ITS","blue","ASV006",-0.978945010372561,4.36873680441591e-06,9,0.00222805577025211,"Ralstonia"
